Translated_TEXT,Sentiment
"the info on the paylater registration date is the exact date the server problem was written. Actually, what facilities do you want to give, you just want to show off",negative
never had a problem ordering tickets or an easy-to-use hotel,positive
"enough to help the level of net capacity so that it doesn't go round and round if you are trying to find a ticket, don't go first to the shop",positive
"the update of the train seats is not clear, choose a real seat, after paying, it becomes a random seat",negative
far okay how many x order here top,positive
filipus nainggolan hottua ed handsome,positive
"I once ordered twice, asked to cancel, didn't respond, hoping for a paylater balance. Ehh, instead, it didn't respond, the more it came, the more difficult it was",negative
lots of simple safe discount vouchers,positive
cool app really help me,positive
the best hotel booking application,positive
"It's not a problem, it's true with ordering tickets or booking hotels, but those who regret using the application for booking airplane tickets but submitting a paylater never go bad, sorry",positive
"the application is not of good quality, give up uninstalling blass",negative
"Allah is delicious, what a beautiful answer in life, I don't miss rare in vain, amen",positive
thank you very much for helping when it's urgent to go to see the parents of a friend who is sick,positive
"For good old years, always farming, always giving good batches, guarantee that you can buy special tickets, always sex",positive
"Very satisfied customer service, fast response, sometimes the price is much lower, but I prefer to reschedule, cancel, it really helps, the cs is always the solution to every problem, I'm satisfied",positive
can change the schedule for free he he he,positive
lk ky be dew u f ljet p vb l p l my,positive
"good apk, fast, accurate, easy to travel, other accommodations continue to be successful",positive
"If you want to fill in the address, it must contain the correct character or not",positive
very easy a lot of help thanks,positive
"please help verify the old number, don't use the old number",positive
"okay, good application, easy to use, amen",positive
young han pt nusa travelindo then trust,positive
"it's very difficult to apply for a refund, change the airline schedule for a week and an error solution system",negative
"if the problem always makes you emotional until it's a problem, only via chat, which replies for hmpr minutes, call cs here and there who answer, the application robot often has problems",negative
"serving the best, really, really, really, really, yesterday, there was a wrong transaction, the transfer nominal was really fast, responded to the recommended principal",positive
"Just a suggestion, the filter feature is added, short by rating, choose a rating for the top, for example, with the feature for the total price, search so if you want to stay overnight or more at night, you will immediately know the total price, searching for hotels is very easy to use",positive
pay for low score results pay via bri bni error always via Mandiri bca what do you do,negative
very easy fast reservation process thank you,positive
"It's true, it's a good feature, withdrawing transactions, just asking a little, the payletter limit suddenly goes down, even though paying on time is more often far due, paying suddenly drops the limit, even though paying has never been a problem",positive
paying atm not using m banking is troublesome if atm,negative
"it's not an application according to the criteria of an online ordering partner, how should I return my money, an illegal application, all the people of Indonesia, you don't have to order it here, it's dead, if you have a lot of problems, it's slow, I'm having a hard time apk dotted",negative
very good response service very satisfied very good bargain price thank you,positive
"When I bought a plane ticket here, I was disappointed",negative
give it easy comfortable right many facilities that need,positive
Disappointed with the purchase of Garuda Indonesia tickets Sunday to Gorontalo Robot fighting system Feedback takes a long time to replace refunds for millions of ticket prices ladies and gentlemen Suggestions to move the travels application Full service tends to lose consumers Example wife,negative
I hope it's smooth and easy to buy tickets,positive
"ladies and gentlemen, don't believe the cancel system, disappointed, so the day for a big refund, million ticket prices, million robot fighting system, difficult to contact, cancel confirmation, it's better to use the travels application",negative
The app is clearly for the benefit of making the mistake of choosing to show everything that is not in accordance with the district the app wants to be responsible for,positive
Why bother every time I want to book a ticket to go back to the homepage,negative
"it's hard to start with, but entering the application all goes smoothly easily",positive
"As a result, I was very disappointed that I had experienced canceling the party from the airline, so I was forced to buy tickets that were more expensive because it was close to the day of leaving to buy full insurance, what compensation would it be the same as those who didn't buy insurance, plus it's useless to buy insurance, it's more different than buying insurance from those who bought it, even though I bought insurance added in anticipation of the airline canceling",negative
"it's good, a little entered, hopefully in the future, serving will be more inclusive, with more clarity, the service for overlapping with disabilities, the ticket stamp, thank you",positive
put a star on the cellphone so it's ready to use,positive
"Hello, I suggest that Paylater uses all the features of the application, don't limit it, you don't always need hotel tickets, thank you for listening to the advice",positive
Stupid application when filling in personal data telling me to change the name of the business where I work idiots how can I not check the train schedule,negative
"it's easy, it's easy to order, it's safe, believe that if you add a discount, it will take a long time, thank you",positive
t free free t that we rrr rtt tt uu uu uu tt rtr bb y,positive
"very helpful to buy tickets, order a hotel, need to leave the house, continue to serve",positive
"don't change the price, so you don't want to shop there, if you can be consistent, the price is fixed",negative
"the app is not bad, I booked the hotel, I chose the wrong date, I chose the right car, so it wasn't thorough, it's not refundable, it's not refundable, help with the hotel, the end of the refund, the cs service is pretty good, even if you complain, the application isn't bad",positive
"Thank you, the refund service is very good, the hotel ticket rescdule refund service",positive
"easy access, mind's suggestion if you're ready to exchange point tokens for the pln token provider",positive
"I'm disappointed with Treveloka until now how come my paylater isn't acc, even though I've been using Treveloka for a long time",negative
it's a very hard loss to reshedule,negative
"just tried the feature, it's fun too",positive
hope it gets better,positive
there is not enough option to pay via digital wallet too often paylater promotions buy game vouchers pay bills pln,negative
"try it first, if the service is good, give it a star",positive
easy flexible competitive price,positive
"arrived, the account transaction is selling, which ticket is using paylater, the problem solving is very slow, I don't want to pay the bill that was ordered",negative
"amzing the best app for a long time, always mes, hotel, flight tickets, sky team, the application has experienced problems at all for a long time, hopefully the next one will be better",positive
"very helpful to visit the city, find facilities for hotels, transportation, added insight, it's easy to walk, choose accommodation",positive
the bug of buying train tickets paying for home appears after paying for insurance chub for fun try to pay minus that choose no bank,positive
"How come the cinema application doesn't appear, but the homepage appears, why does the cinema menu disappear",negative
easy process hope all goes smoothly,positive
very helpful easy to use features,positive
the apk error keeps not working,negative
"The main application is very helpful, easy to pay",positive
prices often change annoying,negative
not for downloading until criticism often experiences overbooking as long as the balance is closed allotment responds to the concerned party for a very long time,negative
"I was really disappointed yesterday, the percent of stay arrived at the location, said it was full, then asked for a final relocation. full hotel which has been going round and round for hours",negative
"want to talk to cs, it's hard to call, if you always have a good computer, cs first",positive
"it's very good, the benefits of taking care of flights, hotel experience, pick-up and drop-off taxis, lots of them, all top, come on, friends, you are using the app, it's very satisfying, thank you",positive
"the travelola application is very helpful, all important, thank you",positive
"Stupid application, order a hotel, pay when you check in at the hotel, receive the message",negative
"buying plane tickets, suddenly checking out, changing prices to go up alone, not often like this again, it's like this again",negative
"it was a big loss on the day of the flight, the airline contacted to change the schedule but told me to change it, notify me to change the hours from morning to seven hours even though the airline info changed the date",negative
often trick the original good photo application like a haunted house,positive
Why is the application so heavy now that access when looking for tickets makes it annoying,negative
"open the apps, see, read, teach, order, good, cheap, everyone doesn't believe, please prove yourself, starting from low to popular, I like shopping, I need to take a business holiday, I want a hotel to hold good service",positive
"bigung look at the comments all the bad comments even though for twenty years there has never been a problem, everyone guarantees that the party will always be successful",positive
"Sip, satisfied with the right price",positive
The top flight ticket boking site,positive
"booking hotel gas, transfer times, directly contact cs, real fast, immediately help contact the hotel, gas until the day the money is fully refunded, cut good job",positive
"it's pretty good, it's just that the paylater is what happened",positive
"fast transaction, many choose save",positive
"the paylater is horrified, the ticket has been refunded, the limit is back in installments, it continues to be double installments by booking a change, not only paying interest, but installments insisting on tickets, only interest, paying half off, paying full installments, not interest, you know, I'm really disappointed, I'm really crazy, I'm late, I'm late every minute, spam calls, then all day long sorry give up auto delete after paying off the limit also drops from jt jt",negative
"auto accept feature, add Citihub insurance with a large nominal value, if you are observant, you will be trapped by betmen, paying more for thousands of insurance, those who don't know about scams by deceiving room rates, star writing application when arriving at the bottom hotel, must be from the party, conduct surveys worthy of accommodation, other price markups than if you order directly to the hotel the price tag is lucky now I'm using it too",positive
the meeting was slow in the process of refund transactions or other payments even though the admin process was running day by day waiting for the response from the party to be very disappointed,negative
"this is the first time to download, register using the cellphone number you entered, how come it doesn't work",positive
always use the application which really helps easy good transactions,positive
"The ads for the HP w are annoying, you know",negative
great online ticket ordering application,positive
"Disappointed when I bought a cancel ticket with Air Asia, the price is million, if I cancel, I will return the money, if I cancel, I'll just cancel everything to fly so that I can fly more and more, Indonesia eats halal money",negative
it's really good for error-free access,positive
full good app need travel,positive
very helpful thanks s,positive
very helpful to go around the world,positive
"I applied for a paylatercard that week, the status for reviewing the limit never came back, I was very disappointed even though I wanted a staycation",negative
"Star first, add more features, more complete, practically thanks",positive
"the priority of the customer doesn't feel special, the application is very bad, the chat service of the robot, asking for a refund process can be really bad",negative
"great, hopefully the price will come down",positive
the paylater limit is down even though paying on time is hilarious,positive
easier local sightseeing tangerang city,positive
fast processing even when tight good job,positive
the application is smooth and easy to use,positive
"update the ticket information, the process is fast, easy, safe, steady",positive
"very satisfied, wise to refund money back, a lot of patience, take a long time to send money",positive
really help walking so it's more practical,positive
"hello, why do you want a refund, don't wait for the code to enter",positive
I swear it's slow now so I don't feel comfortable even though the net isn't a problem,negative
"Where is the tel number for the cs who calls via voice, how come it's difficult, expensive, and the sound doesn't even want to talk",negative
really disappointed the refund fee is more,negative
ordering tickets is easy and safe,positive
"real shopping is very easy, simple, buy airplane tickets, hotel reservations, bonus point benefits, thank you, the smooth running of civil servants' work, thanks for the long support in the task",positive
very helpful where it is enough to buy tickets at home,positive
"the world is getting better in all aspects, thank you",positive
very helpful main out of town,positive
"the ad is very bad, looking for a flying hotel because the ads are pressed, instead other ads are looking for fixed flying hotels",negative
"First about the bomb paylater to buy tickets for the Dufan Ancol attraction, I hope the limit goes up using Todo",positive
Disappointed ticket issue paid cash cancel airline refund old,negative
it's easy to use all so it's easier cheap,positive
alhamdulillah paylater has been very helpful,positive
"I often order here for years, it's still good",positive
really helps the family the community is getting more extraordinary,positive
"I registered for a paylater, how come I've been canceled, I'm not satisfied",negative
"ordering plane tickets is always easy, fast, which I feel is very satisfied with the service",positive
"so far, alhmdlillah, it's good enough, just the first star, thank you",positive
"The refund isn't clear, I've asked the airline if indeed this party has no intention of contacting the airline that made a bad refund",negative
"I want to open it, how come there are so many now",positive
"it's better not to ever order a bus ticket to a different location, of course you will be tricked",positive
I've edited the stars so it's a success for you,positive
"Thank you, the refund was fast, the process didn't take long, I'm very satisfied with the service, it's continued to be successful",positive
ordering airplane tickets clicks have to add costs so add costs wise the airline so that's it,positive
help easy way out of town,positive
"how do you want to send a ticket, it always keeps going to the start menu, try again and again until the thumb curls, but it keeps on not working, it's useless, I download it",positive
vexn qsxw jno nb ki mk xw cgb n j kk mmm bb mb x k i see k mm,positive
"don't download the application, the application is very sneaky, deceitful, don't eat victims",negative
"every time I want to look for a car rental, I have to maintain it all the time, what's the problem, it's already upgraded, it's even difficult, how come the first one is a star, so give it a star, right?",negative
very helpful thank you wish you more success,positive
the service is very good very friendly,positive
"very helpful in finding the type of hotel transportation at a price, thank you",positive
"the application is too slow to load at first, it's good, it takes a long time, it's better to uninstall it",positive
very helpful thank you,positive
"I'm very disappointed because I work with Travelio, the process is very good, lots of arrangements to pay for the tarvelio application, very disappointed",negative
pay via BCA virtual account no,negative
"good, please help, lots of promo discounts for special rooms in the Palembang area, thank you for your attention, keep the spirit of success, aamiin",positive
"The ordering process is easy, fast, and has many features, from flying hotel train tickets to family recreational vehicle destinations",positive
I want to order a ticket to bother you when the data is overlapping,negative
"very easy to help choose a hotel, many thanks",positive
Disappointed with the refund option menu using the CS telephone as well as the active message number even though it was clear that the long stay date had been paid,positive
May Allah subbhanahuwata ala give easy blessings,positive
"Weird application, not consistently providing train tickets, one account, different accounts with lots of fully booked seats rotten",negative
"thank you, cheap plane tickets, easy to pay",positive
refund now come back regret using big effort where it's hard to get a refund,negative
"the bus am trans d follow up being conned by the agent asking for money admin rb people complaining about the assignment in pulogebang they said it's just a trick the agent asks for more money, it doesn't come The bus hours are slow, the bus is still dirty, the air conditioning can't be a pillow blanket, the handle of the chair is broken, the price is rb, I'm already taking an angkot.",negative
"If you want to add a phone number and email, it's hard to ask for forgiveness",positive
very helpful thanks for the service,positive
updating the application feels like more and more want to use the same wifi quota,positive
the world is in your hand,positive
p mm g nyedo mm l o see a ppory lj click jl lvhkmpz re b u l,positive
"use a lot of activities, use an active family stay app, but open the pay letter instead deactivate it",positive
"Just annoyed about wanting to log in to an account, it's hard to force an account login that just clicks even though I want to log in to an account, try uninstalling it when the time runs out, I just realized when I tried to log in facing the camera",negative
"it's not okay now, just net a little lot, no process, tell me to try to escape, bye-bye",negative
"now it's complicated to order here, it's better first",positive
amazing very helpful thank you,positive
Appearing a design makes you dizzy like an official website,positive
"it's really great, everything is easy to manage",positive
many benefits the level of quality continues,positive
"need a ready discount, thank you",positive
it's easy to book a long holiday stay,positive
"I hate to say uninstall data is complete, even it is blocked, don't use it wrong",negative
very kind application,positive
"ask the player to refuse, please delete the data, don't blame the data, thank you",positive
easy application easy to operate,positive
"It's strange that you use a virtual account to pay on time, virtual, you know, you can't use TRS paylater, you can't use it blindly, the hotel just for a month, the limit goes down, when you pay, it's always on time, admin, doesn't everyone have holidays every month?",negative
pretty good very helpful,positive
"it's good, but too often cellphone advertisements appear, so it's annoying",negative
make life easier color all need,positive
"If you don't intend to offer Paylater, don't send real data, refuse all data, delete it",negative
"thank God, it's good, hopefully there will be lots of main customer discounts that might have lasted for several years using the application",positive
"Choose to pay very little, maybe you can add Ovo GoPay Kredivo",negative
old refund wrong airline customer very loss,negative
very helpful for leaving the family like the initial gutter pattern service road,positive
very easy help what do you want,positive
"the soup likes to be complicated, the issue of refund, cancel, install it, still use it",positive
please help delete the score biceking slip ojk paid off the long text bad score biceking pay very disappointed pay service,negative
very helpful I need to go,positive
give an example if you want to order flight tickets abroad,positive
"there are too many problems, this is travel loka, it's hard to beg for mercy, said one hour hasn't been around, try to mess up the system, oh you know when the refund time runs out, it's almost the same as giving up using travel loka, give up, don't think first if you don't use the app",negative
"The first time I rented a car, I gave up on renting a car with a supplier, bal, fast track driver, Imam Zainuri, the distance to Taban City, bal km, you will be charged an additional fee, Rp. then the road that is farther to go to spy can ot the driver has filled up the gas first, no note if you want to rent ol",negative
practical simple makes everything so easy,positive
"the behavior of buying tickets, please buy it, it hasn't gone wrong, the process is wise, whether it's returned, it's wise, management, thank you",positive
easy process lots of promo prices,positive
top markotop deh principal further level,positive
"I was very disappointed that I always paid on time for the pay virtual number feature, how come the virtual number pin input always failed to activate the previous day",negative
"If you give a limit, you don't need a usage limit, instead a frozen limit has to make subscribers as comfortable as possible",positive
Want to order tickets complicated once,positive
very easy easy go app,positive
"After updating, how come the usual travel fleet doesn't regret updating",positive
pay for errors and crazy applications,negative
"What application did the error yesterday want to use, how come it keeps restarting in the end, before I delete it, now the download is really slow, it doesn't stop, it doesn't move",negative
"very disappointed, rescheduled, took the money, said that it was almost half the initial price, even though it was certainly thousand per person, stop booking right here what a manipulated order, i need more explain about this",negative
"you install the illegal application, uninstall it now, you don't have to pay the paylater bill, right?",negative
ok give costomer discount ticket,positive
thank you since kunto gadung kunto's business is getting busier,positive
thank you very good service,positive
The application is very helpful for easily ordering hotels according to your choice,positive
easier to buy plane tickets,positive
The main reason for giving a bad rating is that the application likes to hang and reload itself on Android,positive
taiii laggg then if you want to check the route,positive
too many good insert ads appear at the start of the application,positive
so far so good lah,positive
very cool really helps deadlocked time,positive
an easy way to buy anything,positive
the application is hard to open it's hard to find tickets,negative
"The application is ugly, the error is only every click, I'm sorry, I'm sorry, it's just bad",negative
"times to buy hotel plane tickets, even though it might be a little more expensive than the application, the service is good, honest, refunds, reschedules are fast, good",positive
"Disappointed heavily with the order application when checking in, the room is full, the refund application",negative
"I was very disappointed with yesterday buying tickets for Papua Lampung, it's cheaper but the Lion and Citilink planes, God is ruthless, the airline people too, well, your game is rushing to the Bejuhan terminal, I thought the clock was right, it turned out that I checked in at Citilink, Jakarta, what time was it far to the terminal, but it arrived already. close where the money is right when I go up the Lampung trevel, it's even more expensive, thanks for torturing me",positive
bad customer service name app,negative
"it's really strange, I don't know, so the value of the limit using million installments, the limit of trimming the rest of the million, pays even if it's too late, the status of the account there is healthy, pays healthy, then what happens, the limit goes down, what do you mean, use the limit, it runs out and then you stay",positive
the ticket application available here is always empty even though it has been used for a long time,negative
"hello, want a refund, click the refund application, when the refund menu appears, it's sold out",positive
the application is not clear to make people dizzy bae,negative
"please help, want to pay, paylater, pay, even though the day I try to open the payment method, always the net homepage, which has a strong account, now my own logout account, pay, paylater, then email, please help, pay, then email, thank you",positive
"the process is fast, the service is good",positive
"very disappointed with the service, the refund problem, the approval process, the refund history, the blank days according to the conditions, it adds x hours, ckckckckck",negative
"never fails to find a hotel, plane ticket, train ticket using top applications",positive
"great, just want the paylater list to be complicated",positive
"various kinds of features, pay all bills, the road is very satisfied",positive
fast simple easy work thank you,positive
"it's fast, it's not complicated, I hope it's always very good service",positive
sometimes the price is more expensive than split don't forget to appeal the message,positive
good ssssgkxfjjy bad hole gessss,negative
"the application is now very slow to check tickets, it's hard to not connect",negative
"the best, ordering is easy, the refund is easy to hold",positive
"How about tickets, hey, until now it's finished, it's not a loss because",positive
"very helpful when money is tight with hotel applications according to a thin budget, bouncing loyal friends with a thin budget",positive
amazing how fast it works,positive
the landing page is always a problem,negative
"I've been using it for years, but now the application isn't slow, I can't even use it, it's not a matter of pity, it's hard to use, I need it",negative
"I couldn't believe it several times, I was tired of buying tickets, the time was running out, the inability to give e tickets, even though I paid until it was delayed for more than one day, the appointment for a real reschedule was complicated, it was delayed, the processing was complicated, so it's better to buy the airline directly, the train directly",negative
"it's quite easy, the process of buying tickets online is busy working directly at the airport station, it's easy for people to see the departure schedule, promos for pulling tickets are available online",positive
"I don't use the app, but the rating is low, because this ad, the app keeps showing up, it's very annoying",negative
"it's easier even though you live in remote villages, thank you",positive
very easy via buying plane tickets,positive
back and forth data verification until x finally rejected the reason for the photo ID and selvi people don't just find an application like gin maybe you want php with paylater,negative
"it's cool, the payment method has lots of options, I didn't expect a real debit card",positive
"very helpful for ordering hotel flight tickets, choose according to the conditions of money",positive
ui friendly for me as first time use it however i did not use promo code sadly,positive
"the first time I was disappointed with the customer service agent, I waited a long time, I can't hear it first, instead I immediately assume that the report is complete, even though it's not an appropriate way to play breaking up parties, it's good if you use bots, it's enough",positive
cool always satisfied wiwid collection semarang,positive
great there is very very helpful,positive
stop ads disturbing the cellphone screen,negative
"the service is bad, now the payment is delayed, the cs is leeeeeeeeeettttt, received complaints, gave up at the end of use",negative
"how come it's updated to buy plane tickets, don't choose a seat, please choose a seat when it's done, then give it a star",positive
"it really helps the paylater, it's easy to get five big thanks",positive
happy with ordering app tickets,positive
I refuse paylater sm borrowing is not good,negative
"the clearer the limit, the less application, so lots of people are disappointed to subscribe to the new version of the update, the problem is slow to pay bills, how come the limit has dropped",negative
buy what tickets so easy,positive
easy to believe good job,positive
"how do you want to register for direct Mandiri, the Mandiri card number, just the digits, instead of asking for it, it's a headache",positive
"thank you very much for your help, it's getting harder and harder to ask for an upgrade, change it, it's even more expensive than the price for the same service application",positive
great help with the app,positive
Natural cs swiftly hands the customer's natural problems,positive
it's easier to order tickets etc,positive
write down the application for the remaining seats eh when I enter the complete data until nik eh give the answer the bus is full it doesn't update the application I'd better just uninstall it from the trash just the cellphone doesn't update real time online or what,positive
paying paylater via bri is good it takes a long time,positive
thank you very much for helping year holidays,positive
Payleter is not good enough to pay for paid applications,negative
"How about giving a paylater limit, but it doesn't work, do you intend to give the limit?",positive
What good application did you use the application before?,positive
"Please let me know the CS telf number, I'd like to ask for the money back",positive
"I feel at a loss for airplane ticket transactions because I got a ticket refund, instead I was told to pay, so I was subject to the OJK",negative
"easy, fast, direct transfer, send labels by email",positive
"Disappointed with the service, the hotel has already paid, it has paid proof, the voucher is issued with the room mat, it has sold out, check the real application, still bargaining for the first solution, relocating the refund, relocating the hotel, very disappointed in bargaining for hotels that appealed to the hotel that was ordered, there are indeed problems with the application of persons who deliberately published were misused",negative
happy to buy airline tickets agent,positive
"the transfer system is not right, the transaction keeps failing",negative
"this is the first time for a transaction, love the stars first",positive
"My application isn't burnt because the villa has managed a lot of bad parties, I hope that the application will be closed quickly, the price for hotel villas is expensive",positive
"e ticket has been issued but the pool refuses really there is a problem with inter-pool bus I got off the bus on the day of departure complaining I got the option of a full refund reimbursement but it's strange that the first option is to ask me to find a bus that has details on leaving smt like the initial ticket even though it's clear that inter-provincial buses are almost impossible to get day tickets in the end I was forced to get a full refund, in the end I was absent from work today because I was delayed, thank you",negative
so many times booking through trouble refund,negative
"Disappointed with the cents of the apartment, instead they were sent ordering to download the travelio application",negative
"It's not clear if the application wants to order tickets but suddenly it's full, it doesn't update, even though I've been expecting tickets",negative
"When you pay, the ontime limit is reduced, it doesn't make sense, maybe looking for someone who pays badly, then gives a limit",negative
"It's really bad, I want a refund, I really need cash, no initial notification that I'm going to change vouchers, only info on refund tickets, but it turns out that the wise words of the airline are ambyar, I've given vouchers, which only sell well. angus sklian",positive
"Now, let's work together well, please, please return to Playstore first",positive
open for availability other hotel airplane features appear even though the updated version please help it's already days,positive
"I intend to try using the application, because I used to use the app frequently but I was disappointed when I searched, even though it had already come out automatically, clicked instead, the misspelled notification hadeeh, just delete the application, just use Agoda, if this is the case, mah",negative
"Order a hotel ticket, refuse to cooperate with a severe refund",negative
always believe in buying a ticket to fly the best thanks,positive
the level is getting lower day by day it's rare to delete the system's personal data admin if it's blocked already,negative
"want to take a holiday, it's really easy, thank you",positive
user friendly very easy refund rescheduling,positive
"thank you for helping me, it's difficult, I hope you always succeed, amen",positive
an easy way to search for hotels instead of suddenly,positive
"If you want to change hotels, turn off your cellphone",positive
Bad app doesn't make bookings,negative
"it's bad, paylater suddenly freezes, please help activate it if it's auto uninstall",positive
highly recommend buying bus tickets via buying tickets for the trans jaya space bus route bal surabaya must depart at real time pick up point departs different final ticket look for bus parking location map ask directly po real bus departs pick up point confirmation po bus lots of complaints hooks,negative
very useful for people who travel far and wide,positive
"everything is so easy, need to queue, gaess, thank you",positive
very helpful application of sudden time,positive
"I immediately uninstalled it, I didn't install it, I complained that I wanted a refund, it didn't help even though I canceled the call to cs at the initial check-in time at noon to the hotel, even though the check-in time was arranged, the order was refundable, the safest, I insisted on canceling. got news by email telpn lsg cs k said no already",negative
"The ordering process is very easy, fast, believe me, thank you",positive
"Min, I want to ask again for cinema tickets",positive
thank you according to what you want,positive
"I only give one star because I want to try it first, if the app is good, I'll give it a star later",positive
"since d ufade added lots then vocer use a little please, traviloka parties work together easily, people go back and forth anywhere, just try to give a cheap percent promo price, how many years have you used the application, it's just like that",positive
"it's really cool, everything is taken care of properly",positive
"I want to refund the ticket for two times, I don't have the option, I just press when it fills in the loading data, it's annoying all the time, sorry to star first, lot",negative
"at the end of the application, the price is getting unclear, change the price, look for price a, then click on price b, when you want to pay price c, seriously don't take care of the technicalities, the room prices are like the price of forex trading, the admin, try to check the application",negative
"Want to try using a paylater pin, forgot to turn into cash, the top service is really waiting for new innovations to be more friendly",positive
"very good service, easy to order, thank you",positive
present a lot of easy excellent service when the problem is solved good comfortable,positive
"The idiotic application tells me to enter a credit card, but it's automatic, so where do I pay cash? Can't cancel paying cash if you don't get a fine, like that, the column for entering a voucher doesn't know, it's not very clear.",negative
"The application has been down for a long time, it's not good or the information is really disappointed, it's worth losing to the application",negative
"because of work, earning a living, children, and wife, driving the bus, the loss is big for the party, don't give a position, it's not a problem to be reckless, bad, bad business steering, I hope the employees and themselves have a good life, I wish you a long life, may you always be healthy, amien amien robbal alamin",positive
"it was the first time I used it, I tried pennies for cheap bus tickets, red travel, even though the initial tourism bus was delicious, in the middle of the road, the bus driver was really speeding, so it was a disaster, Tuesday early in the morning, the bus driver swerved because the car suddenly braked. fortunately, the material store is not injured, I want to try an insurance claim, it's not very clear, no claim, no insurance costs",positive
just tried it for the first time so far is good,positive
paylater why can't use it yesterday because covid is a bit late to pay but if we pay too how come the paylater is locked,negative
"very good application, thank you",positive
What tickets are easier to find d,positive
"very helpful. Need to go back and forth out of town, bother queuing for tickets",positive
it's very easy to book a hotel,positive
"buy a bus ticket on the jogja jakarta tera date the agent arrives immediately, the agent refuses to register, call cs, tell them to wait for the minutes to run out, then suddenly the bus agent says to leave, until klaten, give up the bus",negative
"I force the ad, almost every minute I enter my cellphone, it's online, the ad appears, I force it, it's very annoying",negative
thanks for making my business easy,positive
"How do I use the resteadjule, I often order plane tickets here, but why I want resceadjule, I haven't been directed to easyresceadjule, but I can't sign it, bro, I'm disappointed, if I don't ask for directions, please",negative
now the lot application is really open even though the net update version is also normal to open the apk even though it really needs help there is a paylater feature to buy tickets the developer fix it to be loyal disappointed about,positive
"update, even buy data, enter immediately, it's good if you want to order a ticket",positive
"you need to have a good rescheduling system, the cost is not to play a million fine, move the schedule of stay",positive
"I like it because it's easy to find a house to lay down, always successful. NB, order a price that is equal, don't look for it, you need it, thank you",positive
UI that is easy to use shows that keep appearing for new use so it's easy to access the menu menu,positive
"order bus tickets for executive class bus agents for patas class downgrade tickets ordered the other day the confirmation party has a problem paying for tickets that are more expensive for the current class, of course the facilities are different, I think the real trust application is wrong, try contacting the call center, regret using the application",negative
"Thank you all, if you give a coupon voucher for a discount, use it, not just for display, okay",positive
"this is the first time ordering a hotel through, hopefully the facilities are really good",positive
"the amount of the wrong payment was lacking even though the transfer was already million, but the silver was lacking, the silver continued to top up, rb, uh, instead, the payment was delayed, no, I beg, admin, one piece of money for my younger brother to leave",negative
"good, the application for an empty room until the location is full, don't just apologize for the inconvenience",negative
Lebaran year the order for the bus that came didn't match the message for the bad bus,negative
"very stingy to give wise refund, very disappointed",negative
"For a long time, subscriptions for refunds always fail to enter the pin. I'm really very disappointed, obey, of course the system itself is difficult, really bad luck",negative
"sorry, I'm very disappointed, the service is available for travel, I'm disappointed, what's the range of the application, I'm more disappointed, give firm action, be ready to serve as a container for road agents, give strict sanctions for maximum agents, give service at all, get a solution, feel very disappointed, just run the first shuttle bus at the end",negative
give the star the spirit of continued success,positive
easy to find hotel flight tickets,positive
"bad service cc never solves the problem, it takes really long, if the problem hooks, buy a live chat, cust service takes too long when you call cust service, the bitchy lady",negative
"This application is really messed up, I'm at the hotel from April to April, the email that came to me on which date doesn't reschedule a refund is a loss, this application is really messed up",negative
uuweek ac no gt ay i q q be b et xvkko cum eo q h d dvd mo o dq q qui la num i i o l qrk ek kk,positive
change cellphone login list uninstall using apk no sweat,negative
lots of easy features to search and order tickets,positive
it's good if the tickets are cheap,positive
I'm glad the hotel has already canceled with the party there who is guarding the Treveloka confirmation.,positive
april book a room at one of the cirebon hotels the room fee is paid off the hour shortly belongs to the inpatient send a message wa hours hotel info is full ask the colong application sell full room or stay property commitment what to lose the hotel returns big money thank you,positive
first install immediately really disappointed flop,negative
easy to buy plane tickets here,positive
very disappointed mes batam balikpapan ticket flight schedule flight hours hours minutes after booking paid how come instead of changing hours flying hours very disappointed,negative
"The most applications I've ever installed are disappointed now that they use loading, the internet takes really long to use for those that just speed up, even though I've been using apk for years to order airplane tickets, only now it's really dilapidated",negative
"very helpful, sometimes the schedule changes, it's confusing, ticket prices change very quickly",positive
"there is an app that is very helpful in ordering tickets, everything is easy and easy, thank you",positive
no cs how much now if the problem is really hard to solve no cs just answer the chat robot complain answer the trash robot,negative
great help with plane tickets for Jogja Manokwari on May,positive
"Disappointed to be able to confirm written vouchers, get real guest breakfast rations, realization of hotel guests. Compensation solutions. If the hotel deals, don't give false hopes to consumers",negative
first use hopefully run smoothly,positive
"it's really bad, it's really not clear, the recommendations for cheap hotels, the pictures don't match, that's the price, it's quite a recommendation",negative
last year until the beginning of the year you can use paylater vn and now the new update says you can't use paylater vn you have to be at a certain level before it's better wise the previous one,positive
good spacious high season prices,positive
great recommended more discounts,positive
"Disappointed, consumers are just throwing solutions",negative
"it's really good if you're in a hurry, you can get it right away",positive
"I hope it's always easy to subscribe, the more successful it continues",positive
bca or not the promo voucher promo can't use hoax ahhh,positive
it's easier to use travelola,positive
"now it's really expensive, the app is good, it's expensive, oh my gosh, before Batam, the new week is only rb, now it's almost a million, for those who go far away, want to order tickets, see the price",positive
why pay for ovo funds,negative
the message doesn't receive it doesn't return the money it's a loss people wait wisely,positive
priority borzen level still order hotel tickets sms otp please good system why sms otp,positive
